VidName,ImgName,Lati,Longi,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,Score
GRMN0158,GRMN015817.jpg,37.38,-121.96,751,1667,21936,14208,19408,52819,31534,19836,5063,4354,2030,816,429,143,6,0,2
GRMN0158,GRMN015818.jpg,37.38,-121.96,532,1610,21358,14604,21598,52792,30620,18960,5437,4357,1798,780,453,99,2,0,2
GRMN0158,GRMN015819.jpg,37.38,-121.96,717,2027,22361,15322,23322,52555,28827,17993,4746,4009,1755,826,454,74,10,2,2
GRMN0158,GRMN015820.jpg,37.38,-121.96,633,1764,22106,15396,22584,52633,29034,18378,4892,4453,1839,761,432,90,5,0,2
GRMN0158,GRMN015821.jpg,37.38,-121.96,612,1826,22011,15054,20791,54083,30284,18167,4840,4275,1752,802,413,83,7,0,2
GRMN0158,GRMN015822.jpg,37.38,-121.96,697,2001,18749,10082,14894,63173,37736,16375,4037,4119,1730,888,445,70,4,0,2
GRMN0158,GRMN015823.jpg,37.38,-121.96,667,1292,7982,4715,12987,53022,61045,16865,6189,5141,3343,1151,507,86,7,1,2
GRMN0159,GRMN015901.jpg,37.378,-121.966,958,1211,6133,4135,19659,51038,67380,11646,5726,3583,2016,1370,141,4,0,0,3
GRMN0159,GRMN015902.jpg,37.378,-121.966,598,822,2852,2955,16552,67765,66293,11399,2125,1505,1437,579,113,3,2,0,3
GRMN0159,GRMN015903.jpg,37.378,-121.966,333,513,3077,1358,11945,60114,82036,10070,4203,1027,249,71,3,1,0,0,3
GRMN0159,GRMN015904.jpg,37.378,-121.966,566,1032,5158,3994,21681,65897,68772,5963,896,649,340,52,0,0,0,0,3
GRMN0159,GRMN015905.jpg,37.378,-121.966,252,254,5343,3600,13631,62178,73925,13342,1113,483,410,316,146,7,0,0,3
GRMN0159,GRMN015906.jpg,37.378,-121.966,2,123,2281,4886,18749,60954,76108,10029,726,752,270,95,22,3,0,0,3
GRMN0159,GRMN015907.jpg,37.378,-121.966,14,131,678,2291,9806,50201,94598,11583,1768,1028,1196,1123,511,71,1,0,3
GRMN0159,GRMN015908.jpg,37.378,-121.966,24,210,924,4657,34113,72725,53716,2933,2241,2065,1110,260,21,1,0,0,3
GRMN0159,GRMN015909.jpg,37.378,-121.966,116,345,1683,2762,12772,51785,79244,16986,3217,1687,3602,537,243,21,0,0,3
GRMN0159,GRMN015910.jpg,37.378,-121.966,54,377,2016,2327,6655,63258,72772,24022,2431,727,237,113,11,0,0,0,3
GRMN0159,GRMN015911.jpg,37.378,-121.966,7,82,310,1522,17099,77766,58472,16613,2196,559,297,68,8,1,0,0,3
GRMN0159,GRMN015912.jpg,37.378,-121.966,12,191,2620,4147,6704,61241,74950,19884,3766,1172,278,26,7,2,0,0,3
GRMN0159,GRMN015913.jpg,37.378,-121.966,222,770,3858,7064,8893,35618,63089,44570,8286,1789,596,183,47,9,5,1,3
GRMN0159,GRMN015914.jpg,37.378,-121.966,19,67,326,2962,7544,31124,83531,37281,9940,1616,406,123,55,5,1,0,3
GRMN0159,GRMN015915.jpg,37.378,-121.966,0,8,110,1619,3793,12816,89328,49997,14412,2012,652,175,59,18,1,0,3
GRMN0159,GRMN015916.jpg,37.378,-121.966,20,49,351,796,2568,32044,92172,38396,5122,2051,928,388,93,21,1,0,3
GRMN0159,GRMN015917.jpg,37.378,-121.966,267,729,6229,4519,6344,63314,59445,16790,7756,3556,2389,1747,1335,513,62,5,3
GRMN0159,GRMN015918.jpg,37.378,-121.966,424,1627,9819,19648,43890,81547,12339,2314,1535,781,564,334,154,24,0,0,3
GRMN0159,GRMN015919.jpg,37.378,-121.966,14,219,1423,4184,23557,59534,76758,5393,1808,943,694,377,93,3,0,0,3
GRMN0159,GRMN015920.jpg,37.378,-121.966,46,99,235,1352,12969,65798,76268,14798,1748,870,411,128,162,112,4,0,3
GRMN0159,GRMN015921.jpg,37.378,-121.966,0,29,141,501,5132,54590,77030,29572,3107,1531,1444,1208,488,193,26,8,3
GRMN0159,GRMN015922.jpg,37.378,-121.966,0,24,159,623,1619,36845,84403,40233,2899,2095,3469,1322,927,348,34,0,3
GRMN0159,GRMN015923.jpg,37.378,-121.966,13,57,132,475,1256,35428,85629,44320,3404,1665,1319,722,429,117,31,3,3
GRMN0160,GRMN016001.jpg,37.37,-121.98,3,120,292,709,2934,37036,91699,33708,3434,1674,1638,888,489,325,49,2,2
GRMN0160,GRMN016002.jpg,37.37,-121.98,6,20,71,324,1079,27812,82499,46059,8081,2102,3496,1936,942,438,111,24,2
GRMN0160,GRMN016003.jpg,37.37,-121.98,3,15,68,348,2860,49143,87023,27272,2414,2550,1836,884,352,183,44,5,2
GRMN0160,GRMN016004.jpg,37.37,-121.98,22,88,349,878,4160,49123,87050,26868,2690,1268,1572,549,277,97,9,0,2
GRMN0160,GRMN016005.jpg,37.37,-121.98,7,16,108,506,4765,56650,82682,19294,4020,1446,3514,790,636,442,112,12,2
GRMN0160,GRMN016006.jpg,37.37,-121.98,119,113,200,384,2519,49590,101043,15516,2196,995,1247,279,234,286,263,16,2
GRMN0160,GRMN016007.jpg,37.37,-121.98,260,282,664,1082,5237,54642,94179,15451,1052,606,388,524,473,152,8,0,2
GRMN0160,GRMN016008.jpg,37.37,-121.98,120,184,408,438,2063,53303,103131,12682,901,328,452,528,279,148,32,3,2
GRMN0160,GRMN016009.jpg,37.37,-121.98,338,282,405,414,545,24004,84338,53704,7613,871,704,612,516,523,122,9,2
GRMN0160,GRMN016010.jpg,37.37,-121.98,579,430,643,500,1958,36855,79606,42481,3277,2223,2715,1958,1059,606,109,1,2
GRMN0160,GRMN016011.jpg,37.37,-121.98,782,2813,3206,1526,6005,35076,64716,45250,4734,2036,3266,1728,996,1287,1328,251,2
GRMN0160,GRMN016012.jpg,37.37,-121.98,362,235,335,625,11203,66835,67930,15989,4767,1674,1171,1101,1368,1011,332,62,2
GRMN0160,GRMN016013.jpg,37.37,-121.98,445,431,1138,1445,10392,52449,68425,30682,4606,1986,1149,891,544,297,85,35,2
GRMN0160,GRMN016014.jpg,37.37,-121.98,400,434,1185,860,9531,50575,70610,29900,5223,2907,1553,918,483,304,77,40,2
GRMN0160,GRMN016015.jpg,37.37,-121.98,216,358,924,916,5209,45970,70850,36648,6041,2408,1591,1463,1212,772,334,88,2
GRMN0160,GRMN016016.jpg,37.37,-121.98,334,449,1041,915,3052,40459,79656,38322,5127,2353,1341,994,768,115,26,48,2
GRMN0160,GRMN016017.jpg,37.37,-121.98,391,332,1359,785,3460,46858,72528,38562,6497,2063,835,697,363,146,83,41,2
GRMN0160,GRMN016018.jpg,37.37,-121.98,184,381,799,630,2362,39930,76558,46074,4370,1615,806,703,382,149,44,13,2
GRMN0160,GRMN016019.jpg,37.37,-121.98,355,402,727,976,3702,47674,70583,40844,5800,1645,961,651,494,137,36,13,2
GRMN0160,GRMN016020.jpg,37.37,-121.98,280,286,437,768,1706,32007,70688,55759,6324,3156,2107,1005,385,47,27,18,2
GRMN0160,GRMN016021.jpg,37.37,-121.98,232,268,373,518,1542,41476,87570,33218,4658,2086,1236,861,720,212,27,3,2
GRMN0160,GRMN016022.jpg,37.37,-121.98,313,273,417,1090,4320,52711,90152,15359,5187,2314,1428,917,412,96,11,0,2
GRMN0160,GRMN016023.jpg,37.37,-121.98,259,241,284,726,3614,50534,93466,16403,4211,1696,1921,980,531,104,26,4,2
GRMN0161,GRMN016101.jpg,37.3776,-121.9977,322,395,585,1526,14147,74354,64309,12754,3210,1760,861,461,210,89,16,1,1
GRMN0161,GRMN016102.jpg,37.3776,-121.9977,134,308,552,655,1194,39353,94923,29815,2602,1279,2072,1313,627,132,34,7,1
GRMN0161,GRMN016103.jpg,37.3776,-121.9977,222,240,257,137,318,4082,54984,71659,32193,5688,1840,1262,1036,766,248,68,1
GRMN0161,GRMN016104.jpg,37.3776,-121.9977,372,518,912,794,1635,22036,85293,48622,7472,3073,1770,1192,881,335,57,38,1
GRMN0161,GRMN016105.jpg,37.3776,-121.9977,173,494,1233,537,1459,41039,89427,29819,6031,1516,1084,1118,609,310,116,35,1
GRMN0161,GRMN016106.jpg,37.3776,-121.9977,424,991,1771,687,2870,49138,82180,24241,3669,3779,2751,1351,717,327,82,22,1
GRMN0161,GRMN016107.jpg,37.3776,-121.9977,298,248,695,1528,9115,46449,84274,10249,3680,4131,9068,3302,1498,430,34,1,1
GRMN0161,GRMN016108.jpg,37.3776,-121.9977,121,163,303,574,14269,66392,73296,15375,1958,1060,710,513,233,30,3,0,1
GRMN0161,GRMN016109.jpg,37.3776,-121.9977,334,447,785,746,5599,60383,78829,19391,4404,2262,1125,322,191,128,39,15,1
GRMN0161,GRMN016110.jpg,37.3776,-121.9977,258,168,651,742,4422,49393,84518,25850,5313,1786,962,605,243,75,14,0,1
GRMN0161,GRMN016111.jpg,37.3776,-121.9977,199,305,619,517,2471,45976,85423,31340,4346,1780,1133,568,249,51,14,9,1
GRMN0161,GRMN016112.jpg,37.3776,-121.9977,308,341,602,481,2483,45930,86868,29529,3665,1920,1805,666,269,110,20,3,1
GRMN0161,GRMN016113.jpg,37.3776,-121.9977,405,242,857,618,1801,40866,85948,34991,4177,2091,1333,889,566,174,22,20,1
GRMN0161,GRMN016114.jpg,37.3776,-121.9977,310,362,899,600,1184,36256,88284,36016,5363,1788,2126,983,517,195,81,36,1
GRMN0161,GRMN016115.jpg,37.3776,-121.9977,292,246,791,551,1157,31128,93164,36597,5661,1788,1867,898,499,276,71,14,1
GRMN0161,GRMN016116.jpg,37.3776,-121.9977,298,283,7242,1380,1914,23744,79955,48439,7451,1537,1094,670,582,335,65,11,1
GRMN0161,GRMN016117.jpg,37.3776,-121.9977,336,277,14714,2733,4702,15162,83993,42136,6855,1461,936,682,482,301,113,117,1
GRMN0161,GRMN016118.jpg,37.3776,-121.9977,0,7,11647,1269,2083,16076,79825,58290,2130,1019,1019,836,555,201,40,3,1
GRMN0161,GRMN016119.jpg,37.3776,-121.9977,336,543,1171,1661,2720,15382,77249,60045,8968,2129,1932,1581,776,353,111,43,1
GRMN0161,GRMN016120.jpg,37.3776,-121.9977,351,560,1511,2286,2383,8451,51904,63239,27983,8977,3230,1941,1206,604,224,150,1
GRMN0161,GRMN016121.jpg,37.3776,-121.9977,434,531,3180,2359,1979,33260,75356,44087,7152,2206,2071,1190,667,282,123,123,1
GRMN0161,GRMN016122.jpg,37.3776,-121.9977,0,12,11500,1530,2336,17351,80309,57056,1977,1062,936,533,223,115,52,8,1
GRMN0161,GRMN016123.jpg,37.3776,-121.9977,0,39,4870,1304,2187,10244,73250,64903,13291,1501,1040,1199,722,355,88,7,1
GRMN0162,GRMN016201.jpg,37.3778,-122.011,6,72,5609,1293,2911,21751,80784,51432,7144,1096,1197,861,538,234,65,7,1
GRMN0162,GRMN016202.jpg,37.3778,-122.011,0,8,55,298,1493,12799,75848,65260,13557,1827,961,1451,915,468,55,5,1
GRMN0162,GRMN016203.jpg,37.3778,-122.011,2,41,292,856,938,6966,71412,66754,19767,2725,1905,2034,970,284,51,3,1
GRMN0162,GRMN016204.jpg,37.3778,-122.011,339,986,1128,646,1868,37226,68523,46596,11346,2186,1767,1228,637,303,97,124,1
GRMN0162,GRMN016205.jpg,37.3778,-122.011,191,251,721,706,1496,13215,79467,61504,10975,2784,1811,917,573,256,98,35,1
GRMN0162,GRMN016206.jpg,37.3778,-122.011,105,186,633,477,729,5912,68052,72799,18801,3149,2334,962,484,255,83,39,1
GRMN0162,GRMN016207.jpg,37.3778,-122.011,1,17,79,486,1266,2706,37510,79352,42798,5510,2825,1496,594,257,76,27,1
GRMN0162,GRMN016208.jpg,37.3778,-122.011,0,4,24,95,333,2604,36359,64733,55544,9083,2505,2055,1218,334,79,30,1
GRMN0162,GRMN016209.jpg,37.3778,-122.011,1,2,15,63,233,1098,15836,69926,71334,11031,2088,1905,731,473,207,57,1
GRMN0162,GRMN016210.jpg,37.3778,-122.011,3,21,109,250,818,7403,63680,75715,21052,1968,1945,975,649,340,72,0,1
GRMN0162,GRMN016211.jpg,37.3778,-122.011,3,14,13,23,146,1421,25322,86253,52592,4862,1390,1791,721,321,78,50,1
GRMN0162,GRMN016212.jpg,37.3778,-122.011,6,20,108,130,182,1073,28669,79287,50940,9606,1524,2024,1011,306,86,28,1
GRMN0162,GRMN016213.jpg,37.3778,-122.011,1,1,11,77,318,3251,35831,64628,59230,5941,2490,1677,812,539,161,32,1
GRMN0162,GRMN016214.jpg,37.3778,-122.011,3,26,13,47,181,4843,53451,67143,38400,6141,2170,1403,651,324,146,58,1
GRMN0162,GRMN016215.jpg,37.3778,-122.011,0,1,9,28,201,10356,63314,67525,26214,3874,1699,977,536,198,50,18,1
GRMN0162,GRMN016216.jpg,37.3778,-122.011,447,1083,1039,505,796,8185,67586,69359,19245,2262,1886,1222,791,339,164,91,1
GRMN0162,GRMN016217.jpg,37.3778,-122.011,490,2199,1533,478,878,6104,72548,64892,19526,2416,1452,1150,743,419,129,43,1
GRMN0162,GRMN016218.jpg,37.3778,-122.011,398,516,1672,631,874,2157,49518,74432,36231,4336,1265,1324,932,530,135,49,1
GRMN0162,GRMN016219.jpg,37.3778,-122.011,402,484,758,464,1722,10995,57866,78357,17754,2008,1945,1338,575,235,83,14,1
GRMN0162,GRMN016220.jpg,37.3778,-122.011,287,278,462,428,690,4321,75539,66964,18458,2652,1490,1646,1187,468,102,28,1
GRMN0162,GRMN016221.jpg,37.3778,-122.011,58,121,603,597,817,2658,47806,72054,38781,4205,2591,2526,1193,630,284,76,1
GRMN0162,GRMN016222.jpg,37.3778,-122.011,6,38,89,298,904,2202,16973,59829,67382,15767,6048,3779,833,314,230,308,1
GRMN0162,GRMN016223.jpg,37.3778,-122.011,90,294,876,1481,2140,5389,58370,70110,24342,3119,5240,2005,674,379,273,218,1
GRMN0163,GRMN016301.jpg,37.3762,-122.0137,175,525,2504,3220,3788,15668,71401,59981,8357,4629,3346,927,360,110,9,0,1
GRMN0163,GRMN016302.jpg,37.3762,-122.0137,12,68,439,1292,3072,25593,65569,37892,20965,4919,3757,2423,4554,2404,1508,533,1
GRMN0163,GRMN016303.jpg,37.3762,-122.0137,142,233,442,584,1346,4629,35165,46802,44109,19396,1914,5878,6279,4530,1889,1662,1
GRMN0163,GRMN016304.jpg,37.3762,-122.0137,261,482,3465,1363,5264,15948,21295,36310,48654,6193,7077,6242,14887,5062,1587,910,1
GRMN0163,GRMN016305.jpg,37.3762,-122.0137,253,994,7252,2557,7120,19628,39323,48848,30268,4665,2900,2947,3854,2335,965,1091,1
GRMN0163,GRMN016306.jpg,37.3762,-122.0137,225,686,4657,2091,6477,22636,60216,38849,24153,4784,2564,1865,1774,2173,877,973,1
GRMN0163,GRMN016307.jpg,37.3762,-122.0137,282,1513,5846,3492,12973,24779,45873,58453,8779,3151,2611,1789,2067,1768,877,747,1
GRMN0163,GRMN016308.jpg,37.3762,-122.0137,307,881,7626,3415,3905,8179,45345,24514,35486,21440,6260,4242,4573,4408,2133,2286,1
GRMN0163,GRMN016309.jpg,37.3762,-122.0137,6,101,576,8865,8877,10164,27735,38203,71921,4843,2029,858,489,251,47,35,1
GRMN0163,GRMN016310.jpg,37.3762,-122.0137,1874,19057,106162,11518,4165,3614,3657,3254,2558,1633,1103,1162,966,928,885,12464,1
GRMN0163,GRMN016311.jpg,37.3762,-122.0137,0,0,0,0,0,0,0,0,0,1,33,95,692,2650,8049,163480,1
GRMN0163,GRMN016312.jpg,37.3762,-122.0137,48,164,4967,14125,8941,21358,35733,35632,25895,19692,5379,2010,623,191,118,124,1
GRMN0163,GRMN016313.jpg,37.3762,-122.0137,0,0,0,65,225,1817,8374,20620,25507,39864,35461,28190,11469,2072,847,489,1
GRMN0163,GRMN016314.jpg,37.3762,-122.0137,0,1,1,10,76,784,3680,3388,26469,82699,46094,9030,1736,632,238,162,1
GRMN0163,GRMN016315.jpg,37.3762,-122.0137,0,0,17,140,1085,4010,3996,26677,80533,44021,12174,1554,483,179,98,33,1
GRMN0163,GRMN016316.jpg,37.3762,-122.0137,0,7,151,694,3725,5564,18221,62255,56146,25075,2151,408,318,193,77,15,1
GRMN0163,GRMN016317.jpg,37.3762,-122.0137,0,3,19,177,1877,3842,7080,29755,77144,39788,11803,1841,893,472,224,82,1
GRMN0163,GRMN016318.jpg,37.3762,-122.0137,0,51,200,790,2221,8722,29834,56216,55507,12425,3424,2871,1726,680,212,121,1
GRMN0163,GRMN016319.jpg,37.3762,-122.0137,8,168,1435,3602,14379,23534,52494,51392,18639,3166,1805,1132,694,558,717,1277,1
GRMN0163,GRMN016320.jpg,37.3762,-122.0137,8,207,1441,4136,16235,25575,57786,47882,12710,2717,1759,1040,728,630,731,1415,1
GRMN0163,GRMN016321.jpg,37.3762,-122.0137,17,202,1456,4520,16841,23315,58533,46038,13947,3214,1905,1086,689,781,919,1537,1
GRMN0163,GRMN016322.jpg,37.3762,-122.0137,102,459,1606,4081,11561,19300,73428,44204,12538,3009,1688,1057,521,256,471,719,1
GRMN0163,GRMN016323.jpg,37.3762,-122.0137,89,286,812,3596,7631,13158,88043,45410,10453,2765,1526,735,321,142,26,7,1
GRMN0164,GRMN016401.jpg,37.3685,-122.0138,169,476,1499,4921,9209,18652,95448,34990,5962,1735,894,644,338,59,4,0,1
GRMN0164,GRMN016402.jpg,37.3685,-122.0138,28,161,543,1832,4415,16608,83877,53491,9216,2324,1424,772,266,41,2,0,1
GRMN0164,GRMN016403.jpg,37.3685,-122.0138,23,116,371,673,2020,5592,67280,63836,25946,5541,2237,952,335,72,6,0,1
GRMN0164,GRMN016404.jpg,37.3685,-122.0138,2,39,170,527,1629,3672,42099,68630,38230,9963,4524,2661,1363,873,600,18,1
GRMN0164,GRMN016405.jpg,37.3685,-122.0138,0,1,18,214,1353,5179,51110,63876,41574,8381,1333,834,592,488,46,1,1
GRMN0164,GRMN016406.jpg,37.3685,-122.0138,0,1,4,28,130,963,30907,66266,58106,15538,1194,638,483,473,212,57,1
GRMN0164,GRMN016407.jpg,37.3685,-122.0138,14,16,30,135,468,2737,36175,67720,50361,13933,1518,768,479,371,231,44,1
GRMN0164,GRMN016408.jpg,37.3685,-122.0138,6,26,95,226,680,7975,48826,63660,34834,7617,8767,1291,672,249,55,21,1
GRMN0164,GRMN016409.jpg,37.3685,-122.0138,17,147,236,1475,3215,5160,12660,38206,64449,40258,5720,1392,1696,259,78,32,1
GRMN0164,GRMN016410.jpg,37.3685,-122.0138,329,574,1454,3156,3081,5710,20161,61203,55168,22438,852,630,192,28,20,4,1
GRMN0164,GRMN016411.jpg,37.3685,-122.0138,332,470,1851,5023,3160,8345,15474,54510,59001,25270,958,432,140,30,4,0,1
GRMN0164,GRMN016412.jpg,37.3685,-122.0138,235,437,1595,1959,2898,7774,16887,41953,64410,35397,896,389,139,20,9,2,1
GRMN0164,GRMN016413.jpg,37.3685,-122.0138,145,122,158,388,1112,5330,14478,32858,57655,50675,11248,670,137,24,0,0,1
GRMN0164,GRMN016414.jpg,37.3685,-122.0138,0,7,59,113,396,11634,67458,69378,21161,3055,1006,406,243,65,14,5,1
GRMN0164,GRMN016415.jpg,37.3685,-122.0138,0,1,5,56,279,1238,35658,63881,57836,13359,1564,625,306,143,43,6,1
GRMN0164,GRMN016416.jpg,37.3685,-122.0138,0,1,11,96,515,5904,53027,67036,35505,7242,2518,952,1078,790,289,36,1
GRMN0164,GRMN016417.jpg,37.3685,-122.0138,178,566,7808,2612,2742,16147,64750,46828,13080,10414,5906,1881,1128,745,207,8,1
GRMN0164,GRMN016418.jpg,37.3685,-122.0138,265,612,1843,1817,6000,31727,62376,35775,24465,4044,2071,1599,1665,640,78,23,1
GRMN0164,GRMN016419.jpg,37.3685,-122.0138,224,404,1918,6011,14208,37675,49405,33388,24667,6234,527,270,60,9,0,0,1
GRMN0164,GRMN016420.jpg,37.3685,-122.0138,40,103,6181,8756,5334,14876,39637,48131,33631,14913,2969,266,139,23,1,0,1
GRMN0164,GRMN016421.jpg,37.3685,-122.0138,1,14,163,1195,817,2217,30776,62120,46062,24492,5436,1126,476,101,4,0,1
GRMN0164,GRMN016422.jpg,37.3685,-122.0138,78,146,195,319,824,8153,52607,68284,34389,9056,600,235,100,14,0,0,1
GRMN0164,GRMN016423.jpg,37.3685,-122.0138,29,152,5471,7647,6101,28130,63072,37313,21018,4069,1282,545,155,11,5,0,1
GRMN0165,GRMN016501.jpg,37.3667,-122.01395,127,321,3941,5001,9344,27671,61405,41345,20401,4539,485,240,136,37,7,0,0
GRMN0165,GRMN016502.jpg,37.3667,-122.01395,35,204,3337,3892,9237,25309,50485,37511,25808,12130,5598,973,327,128,16,10,0
GRMN0165,GRMN016503.jpg,37.3667,-122.01395,85,100,138,214,6341,26433,49881,39474,30822,14151,5218,1406,387,243,94,13,0
GRMN0165,GRMN016504.jpg,37.3667,-122.01395,66,240,229,503,1270,7146,45754,53796,36932,18230,8175,2050,471,124,14,0,0
GRMN0165,GRMN016505.jpg,37.3667,-122.01395,298,583,11119,2619,5234,35463,48678,35946,22347,7972,2476,1105,885,264,11,0,0
GRMN0165,GRMN016506.jpg,37.3667,-122.01395,36,87,353,1553,14243,49490,60724,24783,13648,7939,1694,427,23,0,0,0,0
GRMN0165,GRMN016507.jpg,37.3667,-122.01395,286,427,1663,3147,19331,54133,52610,21913,13850,5864,1380,372,24,0,0,0,0
GRMN0165,GRMN016508.jpg,37.3667,-122.01395,598,932,4232,4826,23809,57846,52015,17829,8102,3230,1279,286,15,1,0,0,0
GRMN0165,GRMN016509.jpg,37.3667,-122.01395,650,1000,2885,6224,25325,58421,51108,16048,8862,2935,1294,244,4,0,0,0,0
GRMN0165,GRMN016510.jpg,37.3667,-122.01395,1098,1189,4868,5243,26209,59764,41861,16095,12967,4062,1357,279,8,0,0,0,0
GRMN0165,GRMN016511.jpg,37.3667,-122.01395,390,668,1363,3970,25801,58918,47400,18366,12245,4255,1328,286,10,0,0,0,0
GRMN0165,GRMN016512.jpg,37.3667,-122.01395,419,614,1442,5241,31349,60652,42295,16548,12037,3034,1190,173,6,0,0,0,0
